date(year)	ssMean	ssStd	aaMean(nT)	aaStd(nT)
1.911041999999999916e+03	5.599999999999999645e+00	2.600000000000000089e+00	2.130241935483870819e+01	1.714811173517965415e+01
1.911123000000000047e+03	1.500000000000000000e+01	3.700000000000000178e+00	2.365178571428571530e+01	1.854204191128355461e+01
1.911203999999999951e+03	1.300000000000000000e+01	3.500000000000000000e+00	2.147580645161290391e+01	1.893876537758085021e+01
1.911288000000000011e+03	2.760000000000000142e+01	4.700000000000000178e+00	2.114166666666666572e+01	1.963788678097066054e+01
1.911371000000000095e+03	1.509999999999999964e+01	3.700000000000000178e+00	1.656048387096774022e+01	1.529693896507901663e+01
1.911454999999999927e+03	3.700000000000000178e+00	2.399999999999999911e+00	1.355416666666666714e+01	1.278659712246468771e+01
1.911538000000000011e+03	5.900000000000000355e+00	2.700000000000000178e+00	1.529435483870967794e+01	1.474808791553712162e+01
1.911623000000000047e+03	6.700000000000000178e+00	2.700000000000000178e+00	1.191532258064516192e+01	1.226935958285358375e+01
1.911707000000000107e+03	6.700000000000000178e+00	2.799999999999999822e+00	1.218333333333333357e+01	1.367783080592663048e+01
1.911789999999999964e+03	4.500000000000000000e+00	2.500000000000000000e+00	1.251209677419354804e+01	1.413015017579907884e+01
1.911874000000000024e+03	7.000000000000000000e+00	2.700000000000000178e+00	1.065000000000000036e+01	1.120948259287644433e+01
1.911958000000000084e+03	3.700000000000000178e+00	2.399999999999999911e+00	1.095967741935483808e+01	1.629263597435098632e+01
1.912041999999999916e+03	4.000000000000000222e-01	2.100000000000000089e+00	7.568548387096774022e+00	6.516367320379530703e+00
1.912124000000000024e+03	0.000000000000000000e+00	2.000000000000000000e+00	7.987068965517241104e+00	6.627711288693725500e+00
1.912205999999999904e+03	8.199999999999999289e+00	2.899999999999999911e+00	7.677419354838709964e+00	8.922650035883465947e+00
1.912289999999999964e+03	7.599999999999999645e+00	3.000000000000000000e+00	9.437500000000000000e+00	1.062290420506558064e+01
1.912373000000000047e+03	7.400000000000000355e+00	2.799999999999999822e+00	9.556451612903225978e+00	1.239849263688991776e+01
1.912455999999999904e+03	6.900000000000000355e+00	2.700000000000000178e+00	8.375000000000000000e+00	8.491723912139395480e+00
1.912539999999999964e+03	4.900000000000000355e+00	2.600000000000000089e+00	7.810483870967741993e+00	8.110152126058078892e+00
1.912624000000000024e+03	5.000000000000000000e-01	2.100000000000000089e+00	1.050000000000000000e+01	1.175900478562650697e+01
1.912708000000000084e+03	1.590000000000000036e+01	3.700000000000000178e+00	9.787499999999999645e+00	1.158953595921769519e+01
1.912790999999999940e+03	7.599999999999999645e+00	3.000000000000000000e+00	9.504032258064516014e+00	1.079202138972948610e+01
1.912874000000000024e+03	1.899999999999999911e+00	2.299999999999999822e+00	9.395833333333333925e+00	9.445765328383343373e+00
1.912958000000000084e+03	1.059999999999999964e+01	3.299999999999999822e+00	9.358870967741935942e+00	1.085889342738115459e+01
1.913041999999999916e+03	3.799999999999999822e+00	2.399999999999999911e+00	1.031854838709677402e+01	1.127726707724569621e+01
1.913123000000000047e+03	4.799999999999999822e+00	2.600000000000000089e+00	9.495535714285713524e+00	9.199183663247138654e+00
1.913203999999999951e+03	8.000000000000000444e-01	2.100000000000000089e+00	9.870967741935483986e+00	1.032376505301855119e+01
1.913288000000000011e+03	1.600000000000000089e+00	2.200000000000000178e+00	9.837500000000000355e+00	1.130240802144982304e+01
1.913371000000000095e+03	0.000000000000000000e+00	2.000000000000000000e+00	8.963709677419354094e+00	1.015379187614656153e+01
1.913454999999999927e+03	0.000000000000000000e+00	2.000000000000000000e+00	6.983333333333333393e+00	7.062203779431900585e+00
1.913538000000000011e+03	2.899999999999999911e+00	2.399999999999999911e+00	6.951612903225806051e+00	6.608712283319986724e+00
1.913623000000000047e+03	4.000000000000000222e-01	2.000000000000000000e+00	6.681451612903225978e+00	6.355031876464861895e+00
1.913707000000000107e+03	2.000000000000000000e+00	2.299999999999999822e+00	9.995833333333333570e+00	1.064522503154452870e+01
1.913789999999999964e+03	5.200000000000000178e+00	2.600000000000000089e+00	1.065322580645161210e+01	1.132122211774568044e+01
1.913874000000000024e+03	1.199999999999999956e+00	2.100000000000000089e+00	7.629166666666666430e+00	7.292689214015789290e+00
1.913958000000000084e+03	6.299999999999999822e+00	2.799999999999999822e+00	6.649193548387096975e+00	7.335419991139565887e+00
1.914041999999999916e+03	4.700000000000000178e+00	2.600000000000000089e+00	7.145161290322580960e+00	7.163070107229316363e+00
1.914123000000000047e+03	4.400000000000000355e+00	2.500000000000000000e+00	7.330357142857143238e+00	6.115536994376850721e+00
1.914203999999999951e+03	5.299999999999999822e+00	2.600000000000000089e+00	1.008467741935483808e+01	9.322454200225203991e+00
1.914288000000000011e+03	2.889999999999999858e+01	4.799999999999999822e+00	1.347916666666666607e+01	2.023547790323278406e+01
1.914371000000000095e+03	8.699999999999999289e+00	3.100000000000000089e+00	8.060483870967741993e+00	8.276008062060370207e+00
1.914454999999999927e+03	1.910000000000000142e+01	4.099999999999999645e+00	1.030416666666666714e+01	1.005542884742145304e+01
1.914538000000000011e+03	9.099999999999999645e+00	3.000000000000000000e+00	1.285080645161290391e+01	1.521823500833754927e+01
1.914623000000000047e+03	1.290000000000000036e+01	3.500000000000000000e+00	1.491129032258064591e+01	1.255697473375254702e+01
1.914707000000000107e+03	2.119999999999999929e+01	4.200000000000000178e+00	1.177083333333333393e+01	1.363488110101767248e+01
1.914789999999999964e+03	1.369999999999999929e+01	3.500000000000000000e+00	1.326612903225806406e+01	1.181757089209970779e+01
1.914874000000000024e+03	2.730000000000000071e+01	4.700000000000000178e+00	1.340000000000000036e+01	1.327491368459069676e+01
1.914958000000000084e+03	3.729999999999999716e+01	5.400000000000000355e+00	9.302419354838709964e+00	1.037683496178586751e+01
1.915041999999999916e+03	3.850000000000000000e+01	5.500000000000000000e+00	1.093548387096774199e+01	1.120789031937010805e+01
1.915123000000000047e+03	7.040000000000000568e+01	7.500000000000000000e+00	1.350446428571428648e+01	1.363425235254981693e+01
1.915203999999999951e+03	6.479999999999999716e+01	7.200000000000000178e+00	1.499596774193548399e+01	1.510086997704024725e+01
1.915288000000000011e+03	6.890000000000000568e+01	7.400000000000000355e+00	1.529583333333333250e+01	1.563542929713014118e+01
1.915371000000000095e+03	5.510000000000000142e+01	6.700000000000000178e+00	1.388306451612903203e+01	1.277087299523230790e+01
1.915454999999999927e+03	1.147000000000000028e+02	9.500000000000000000e+00	1.790416666666666501e+01	3.829027268953420560e+01
1.915538000000000011e+03	1.194000000000000057e+02	9.699999999999999289e+00	1.116935483870967794e+01	1.230310855958477845e+01
1.915623000000000047e+03	1.160000000000000000e+02	9.599999999999999645e+00	1.472177419354838790e+01	1.384444141677662010e+01
1.915707000000000107e+03	8.240000000000000568e+01	8.099999999999999645e+00	1.696666666666666501e+01	1.931447355971393876e+01
1.915789999999999964e+03	8.909999999999999432e+01	8.400000000000000355e+00	2.132258064516129181e+01	2.367881467278319008e+01
1.915874000000000024e+03	7.090000000000000568e+01	7.500000000000000000e+00	2.489999999999999858e+01	2.833751929862598118e+01
1.915958000000000084e+03	5.750000000000000000e+01	6.799999999999999822e+00	1.240322580645161210e+01	1.447434847541405212e+01
