BJD	RV	RVerr	BIS	BISerr	FWHM	FWHMerr
5.738001756800000294e+04	1.002149276582564852e+02	2.367136103677465464e-01	-1.994999999999999929e+01	4.734272207354930928e-01	7.051935849002608848e+03	5.562769843642044743e-01
5.738095318199999747e+04	1.035737373036498781e+02	2.367136103677465464e-01	-1.978666666666666529e+01	4.734272207354930928e-01	7.050772331697274240e+03	5.562769843642044743e-01
5.738192852600000333e+04	1.070485635341340753e+02	2.367136103677465464e-01	-2.075000000000000000e+01	4.734272207354930928e-01	7.050172138955470473e+03	5.562769843642044743e-01
5.738409774800000014e+04	1.054183051153952846e+02	2.367136103677465464e-01	-1.953000000000000114e+01	4.734272207354930928e-01	7.053201653304599859e+03	5.562769843642044743e-01
5.738491792233332671e+04	1.067249255633729632e+02	2.367136103677465464e-01	-2.020666666666666700e+01	4.734272207354930928e-01	7.053651796776255651e+03	5.562769843642044743e-01
5.738591939233332960e+04	1.062234475454128670e+02	2.367136103677465464e-01	-1.825666666666667126e+01	4.734272207354930928e-01	7.052867199399937817e+03	5.562769843642044743e-01
5.738700447399999393e+04	1.008119898689475491e+02	2.367136103677465464e-01	-1.867333333333333556e+01	4.734272207354930928e-01	7.049842789658625406e+03	5.562769843642044743e-01
5.738794844066665974e+04	1.017280120553805887e+02	2.367136103677465464e-01	-1.869999999999999929e+01	4.734272207354930928e-01	7.048266332823749508e+03	5.562769843642044743e-01
5.739113496199998917e+04	1.014392221888434875e+02	2.367136103677465464e-01	-2.228000000000000114e+01	4.734272207354930928e-01	7.049833600783616021e+03	5.562769843642044743e-01
5.739191867733333493e+04	1.004654682782106789e+02	2.367136103677465464e-01	-2.154999999999999716e+01	4.734272207354930928e-01	7.048331853307584424e+03	5.562769843642044743e-01
5.739391694200000347e+04	1.057229075156701725e+02	2.367136103677465464e-01	-2.117333333333333201e+01	4.734272207354930928e-01	7.051201569871770516e+03	5.562769843642044743e-01
5.739493025266666518e+04	1.025433433305174304e+02	2.367136103677465464e-01	-2.027333333333332988e+01	4.734272207354930928e-01	7.051294076003082409e+03	5.562769843642044743e-01
5.739610844300000463e+04	1.029948824615617582e+02	2.367136103677465464e-01	-1.949333333333333584e+01	4.734272207354930928e-01	7.051368771922355336e+03	5.562769843642044743e-01
5.739813888366665924e+04	1.043754503356072263e+02	2.367136103677465464e-01	-2.011333333333333329e+01	4.734272207354930928e-01	7.050916449491084677e+03	5.562769843642044743e-01
5.739892355566666811e+04	1.058588044845665195e+02	2.367136103677465464e-01	-1.921333333333333471e+01	4.734272207354930928e-01	7.053249239376727019e+03	5.562769843642044743e-01
5.739997903766666423e+04	1.044838957446040268e+02	2.367136103677465464e-01	-1.984999999999999787e+01	4.734272207354930928e-01	7.051308450162557165e+03	5.562769843642044743e-01
5.740503087899999809e+04	1.017082622971962991e+02	2.424871130596428503e-01	-2.072333333333333272e+01	4.849742261192857007e-01	7.049332730290792824e+03	5.698447156901605970e-01
5.740598896933333162e+04	1.030354997198934797e+02	2.367136103677465464e-01	-2.043666666666666742e+01	4.734272207354930928e-01	7.049841119357984098e+03	5.562769843642044743e-01
5.740691812399999617e+04	1.025767652400001566e+02	2.424871130596428503e-01	-2.087000000000000099e+01	4.849742261192857007e-01	7.050562594483635621e+03	5.698447156901605970e-01
5.740813535433333163e+04	1.017091474415729380e+02	2.367136103677465464e-01	-2.098666666666666814e+01	4.734272207354930928e-01	7.048306670985588426e+03	5.562769843642044743e-01
