aa_mean	aa_std
2.252499999999999858e+01	2.340885249216628949e+01
1.454435483870967794e+01	1.505628045153848049e+01
2.538709677419354804e+01	2.117770802938154517e+01
2.358189655172413879e+01	2.341570022640251381e+01
2.183064516129032384e+01	1.986333214996658114e+01
1.718750000000000000e+01	1.601699130350849032e+01
2.063306451612903203e+01	2.573105385607485474e+01
1.172916666666666607e+01	1.392380991822600578e+01
1.557258064516129004e+01	1.525676655121704073e+01
1.810080645161290391e+01	1.960337362328617061e+01
1.779583333333333428e+01	2.257976563147239801e+01
1.749193548387096797e+01	2.119209224388325907e+01
1.307499999999999929e+01	1.656133171980240348e+01
1.382258064516129004e+01	1.872037375001552917e+01
1.200806451612903203e+01	1.821267547250555552e+01
1.404017857142857117e+01	1.287172954177812478e+01
1.420967741935483808e+01	1.268144071490377378e+01
2.220416666666666572e+01	2.206873692139075516e+01
1.455645161290322598e+01	1.600342827150505087e+01
1.203749999999999964e+01	1.206383412311359749e+01
9.274193548387096087e+00	1.066146112790802469e+01
1.070161290322580605e+01	1.054061257838345078e+01
1.100000000000000000e+01	1.072030783140111154e+01
1.384274193548387011e+01	1.412314317448318768e+01
1.262916666666666643e+01	1.125610868101800577e+01
1.722580645161290391e+01	2.411258495852101547e+01
1.347580645161290391e+01	1.450915379008970696e+01
1.508035714285714235e+01	1.696274194103545696e+01
2.050403225806451601e+01	3.597747928911861948e+01
1.336250000000000071e+01	1.449848591232891337e+01
1.507258064516129004e+01	1.719816821973968501e+01
1.432499999999999929e+01	1.321026274025867586e+01
1.351612903225806406e+01	1.321105589719589801e+01
1.461290322580645196e+01	1.368552901697649915e+01
2.149166666666666714e+01	4.030270789771933693e+01
1.407661290322580605e+01	1.607812884751372096e+01
1.355833333333333357e+01	1.464371072812109631e+01
1.302419354838709609e+01	1.314034891130848592e+01
1.434677419354838790e+01	1.539404176466457663e+01
1.781696428571428470e+01	1.938904969118641475e+01
1.560483870967741993e+01	1.937795494569050803e+01
1.415833333333333321e+01	1.458937731897957057e+01
1.591129032258064591e+01	1.954131772258635991e+01
1.353333333333333321e+01	1.902714435279824556e+01
1.162500000000000000e+01	1.265837173573283891e+01
1.137500000000000000e+01	1.089356961105806398e+01
1.355000000000000071e+01	1.261404640338169436e+01
9.423387096774193949e+00	1.139265191076395212e+01
8.691666666666666430e+00	9.820298564141975106e+00
1.206048387096774199e+01	1.079614864534202745e+01
1.350403225806451601e+01	1.573290110848225076e+01
8.928571428571428825e+00	1.105967117642347652e+01
1.245161290322580605e+01	1.848030985230639800e+01
7.233333333333333393e+00	6.401475524352872704e+00
9.592741935483870108e+00	2.211643190534416803e+01
4.737499999999999822e+00	3.879681312083936184e+00
5.201612903225806051e+00	4.796638336796620550e+00
6.000000000000000000e+00	6.164414002968976014e+00
5.216666666666666785e+00	4.267480391154585107e+00
7.125000000000000000e+00	9.846631362732555459e+00
5.387500000000000178e+00	4.928219125607139262e+00
5.427419354838709964e+00	6.141048280662825931e+00
7.310483870967741993e+00	7.762371172359756599e+00
7.049107142857143238e+00	9.373799880667718298e+00
6.495967741935483986e+00	9.739344046216475093e+00
5.250000000000000000e+00	5.677073776750366285e+00
6.161290322580645018e+00	1.050528829714041557e+01
5.979166666666666963e+00	5.376219176976407610e+00
5.612903225806451957e+00	5.361465972822315074e+00
6.116935483870967971e+00	8.167502695815915814e+00
6.020833333333333037e+00	8.612223830437500283e+00
5.391129032258064946e+00	7.130992240788752490e+00
5.625000000000000000e+00	6.577819420851664489e+00
6.375000000000000000e+00	9.576964339901341106e+00
6.092741935483870996e+00	7.902854459676076360e+00
7.580357142857143238e+00	8.009635261065644940e+00
5.943548387096774022e+00	7.813658863061776039e+00
7.887500000000000178e+00	1.245357420247965052e+01
5.596774193548387011e+00	7.365371631600953428e+00
5.379166666666666430e+00	4.887269105088807741e+00
6.298387096774193949e+00	7.301104466503766766e+00
6.189516129032258007e+00	8.035729873793577838e+00
7.025000000000000355e+00	7.258285495441285207e+00
7.233870967741935054e+00	8.506267965037787704e+00
7.612499999999999822e+00	9.163551554028238399e+00
6.108870967741935054e+00	4.850199731450611118e+00
6.532258064516129004e+00	6.633779008483981166e+00
5.919642857142856762e+00	6.660301356407475559e+00
6.701612903225806051e+00	6.503075995138237531e+00
1.031666666666666643e+01	1.726484063703520633e+01
7.834677419354838968e+00	7.138102489738169076e+00
1.133750000000000036e+01	1.158261313708324280e+01
1.083064516129032206e+01	9.997355919952960690e+00
1.414919354838709609e+01	1.637532071081033180e+01
1.400000000000000000e+01	1.348919320542682954e+01
2.629838709677419217e+01	6.772983330836706273e+01
1.632499999999999929e+01	1.533142877664483450e+01
1.347983870967741993e+01	2.268542760849874540e+01
1.505645161290322598e+01	1.499935612561894338e+01
1.256034482758620641e+01	1.104675704722450469e+01
8.737903225806451957e+00	9.005366614502849032e+00
1.309166666666666679e+01	1.654740454640008451e+01
1.301209677419354804e+01	1.452597280481133879e+01
1.048750000000000071e+01	1.432218013257758393e+01
1.078225806451612989e+01	1.041444443864677716e+01
1.021774193548387011e+01	1.144908820420194928e+01
1.117916666666666714e+01	1.229317151805107677e+01
1.301612903225806406e+01	1.489505431611865127e+01
1.155833333333333357e+01	1.234388906391426666e+01
1.056854838709677402e+01	9.645497586919587363e+00
1.601209677419354804e+01	1.495436117606442927e+01
2.029464285714285765e+01	2.128070822904143355e+01
1.663709677419354804e+01	2.127520693861653811e+01
1.655833333333333357e+01	2.027942135652680733e+01
1.063306451612903203e+01	9.283094431365228161e+00
1.382916666666666750e+01	1.445625525411827361e+01
1.177822580645161210e+01	1.400213152255105342e+01
1.679838709677419217e+01	1.633839720428520792e+01
1.633749999999999858e+01	1.519150838736342557e+01
1.121774193548387011e+01	9.987137279029306924e+00
2.007499999999999929e+01	3.106972333853865464e+01
1.070161290322580605e+01	1.120086390584462244e+01
7.633064516129032029e+00	7.803434125891497430e+00
1.749553571428571530e+01	1.679976556167662594e+01
1.397177419354838790e+01	1.194692604871761965e+01
1.157916666666666750e+01	1.121466596198428434e+01
1.137500000000000000e+01	1.335859711704353536e+01
1.131666666666666643e+01	1.187362857577899611e+01
1.242741935483870996e+01	1.263135715839161932e+01
1.195161290322580605e+01	1.390512486094760725e+01
1.416666666666666607e+01	1.546169101000563018e+01
1.266532258064516192e+01	1.179516401966417938e+01
9.604166666666666075e+00	9.434289372932241236e+00
1.643951612903225978e+01	2.156246484260205420e+01
1.649596774193548399e+01	2.001632357720434641e+01
2.533035714285714235e+01	4.021824132886388270e+01
1.430241935483870996e+01	2.043659732626139558e+01
1.212916666666666643e+01	1.199253167484756766e+01
1.679032258064516014e+01	1.560617857046884716e+01
1.484999999999999964e+01	1.323924091479568332e+01
1.692741935483870819e+01	1.866304498679088297e+01
1.545161290322580605e+01	1.270119046916575734e+01
1.676249999999999929e+01	1.824434415784793018e+01
1.846774193548387188e+01	2.020377459299054834e+01
1.455416666666666714e+01	1.606747437025772740e+01
1.154838709677419395e+01	1.118420173129424278e+01
1.363306451612903203e+01	1.222266681854365267e+01
1.699137931034482918e+01	1.647594677811973440e+01
2.318951612903225978e+01	2.307334839630958001e+01
1.562916666666666643e+01	1.489043258736592001e+01
1.892741935483870819e+01	1.698299594903051002e+01
1.255000000000000071e+01	1.165965265348843971e+01
1.037903225806451601e+01	1.296993592016371366e+01
1.817741935483870819e+01	2.181171200151526079e+01
3.162916666666666643e+01	5.274522078797492952e+01
1.578225806451612989e+01	1.863834950634040410e+01
1.743750000000000000e+01	2.140025919819664324e+01
1.144354838709677402e+01	1.419893363746753501e+01
2.481451612903225978e+01	3.557644357814724856e+01
1.704464285714285765e+01	1.828147403054774855e+01
1.976209677419354804e+01	2.226444472313074030e+01
1.214583333333333393e+01	1.236997302498630624e+01
1.833467741935483986e+01	3.264009641914037729e+01
1.149583333333333357e+01	1.128605257115564342e+01
1.256048387096774199e+01	1.062314362187719574e+01
1.761290322580645196e+01	1.672799935853124964e+01
2.763749999999999929e+01	7.914610599233546395e+01
1.939112903225806406e+01	2.518072263207855954e+01
1.162916666666666643e+01	1.290832997094856083e+01
1.384274193548387011e+01	1.476985636348298492e+01
1.281451612903225801e+01	1.470015741384001018e+01
1.460267857142857117e+01	1.498505779471568822e+01
2.089516129032258007e+01	2.804139179866512066e+01
1.975000000000000000e+01	2.152314645523124526e+01
1.724596774193548399e+01	1.486009974347602380e+01
1.374583333333333357e+01	1.832069592852726458e+01
1.077419354838709609e+01	1.187830681270409805e+01
2.023790322580645196e+01	2.080196211566597597e+01
1.923750000000000071e+01	2.123866977355220342e+01
2.436693548387096797e+01	2.210108821497620823e+01
1.789166666666666572e+01	1.647816526666593617e+01
1.952419354838709609e+01	1.629761693923448718e+01
2.130241935483870819e+01	1.714811173517965415e+01
2.365178571428571530e+01	1.854204191128355461e+01
2.147580645161290391e+01	1.893876537758085021e+01
2.114166666666666572e+01	1.963788678097066054e+01
1.656048387096774022e+01	1.529693896507901663e+01
1.355416666666666714e+01	1.278659712246468771e+01
1.529435483870967794e+01	1.474808791553712162e+01
1.191532258064516192e+01	1.226935958285358375e+01
1.218333333333333357e+01	1.367783080592663048e+01
1.251209677419354804e+01	1.413015017579907884e+01
1.065000000000000036e+01	1.120948259287644433e+01
1.095967741935483808e+01	1.629263597435098632e+01
7.568548387096774022e+00	6.516367320379530703e+00
7.987068965517241104e+00	6.627711288693725500e+00
7.677419354838709964e+00	8.922650035883465947e+00
9.437500000000000000e+00	1.062290420506558064e+01
9.556451612903225978e+00	1.239849263688991776e+01
8.375000000000000000e+00	8.491723912139395480e+00
7.810483870967741993e+00	8.110152126058078892e+00
1.050000000000000000e+01	1.175900478562650697e+01
9.787499999999999645e+00	1.158953595921769519e+01
9.504032258064516014e+00	1.079202138972948610e+01
9.395833333333333925e+00	9.445765328383343373e+00
9.358870967741935942e+00	1.085889342738115459e+01
